LID,LATITUDE,LONGITUDE,MB_CODE,MB_CAT,SA1_CODE,LGA_CODE,LGA_NAME,SUBURB,POSTCODE,YEAR_BUILT,CONSTRUCTION_TYPE,ROOF_TYPE,WALL_TYPE,REPLACEMENT_VALUE,CONTENTS_VALUE,SURGE_VULNERABILITY_SET,STATE,NEXIS_NO_OF_STOREYS,SURGE_VULNERABILITY_FUNCTION_ID,floor_height_above_ground_(m)
GNAF_GAQLD155522756,-16.91970076,145.7458506,30186550000,Residential,30602115212,32080,Cairns,Manunda,4870,1980 - 1995,SH,Metal Sheeting,Veneer Masonry,853039,66600,domestic_surge_2022,QLD,1,SS2,0.3
GNAF_GAQLD156812981,-16.91968081,145.7473537,30186950000,Residential,30602115214,32080,Cairns,Manunda,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,871644,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD158234944,-16.91959277,145.7522843,30187861000,Residential,30602115212,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,1095137,71400,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD158198157,-16.9195655,145.7315482,30188300000,Residential,30602115106,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,373592,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD158217327,-16.9195519,145.7379962,30187220000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Timber,682463,71400,domestic_surge_2022,QLD,2,SS5,2
GNAF_GAQLD156803383,-16.91952883,145.7321304,30188310000,Residential,30602115106,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,858185,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD158222688,-16.91945594,145.7315581,30188300000,Residential,30602115106,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,378726,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD156774784,-16.91941083,145.7378102,30187220000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,922393,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD156809917,-16.91938457,145.7454039,30186550000,Residential,30602115212,32080,Cairns,Manunda,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,841564,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD155531998,-16.91933428,145.7463533,30186090000,Residential,30602115212,32080,Cairns,Manunda,4870,1980 - 1995,SH,Metal Sheeting,Timber,784613,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD158203613,-16.91932123,145.738045,30187220000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Timber,370544,35700,domestic_surge_2022,QLD,2,SS5,2
GNAF_GAQLD158228450,-16.919315,145.7379711,30187220000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Timber,370544,35700,domestic_surge_2022,QLD,2,SS5,2
GNAF_GAQLD158224582,-16.91929195,145.7397024,30186150000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,726379,71400,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD158226698,-16.91925515,145.7380508,30187220000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Timber,370544,35700,domestic_surge_2022,QLD,2,SS5,2
GNAF_GAQLD158203614,-16.91924891,145.7379769,30187220000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Timber,370544,35700,domestic_surge_2022,QLD,2,SS5,2
GNAF_GAQLD158201981,-16.91924633,145.7397065,30186150000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD155531997,-16.91917083,145.74629,30186090000,Residential,30602115212,32080,Cairns,Manunda,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,844884,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD158219121,-16.91920081,145.7397106,30186150000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160589726,-16.91912249,145.7435207,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,726379,71400,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD156771152,-16.91915486,145.7397148,30186150000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD156796367,-16.91910715,145.7330953,30187550000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,712672,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD156796369,-16.91909144,145.7329071,30187550000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,712672,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD160589727,-16.91909045,145.7432844,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD156796371,-16.91907572,145.7327205,30187550000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,747610,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD160589728,-16.91902269,145.7432617,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD155504346,-16.91910906,145.7397189,30186150000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD155531996,-16.91900678,145.7462706,30186090000,Residential,30602115212,32080,Cairns,Manunda,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,909318,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD160589724,-16.91905438,145.7435423,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD158192300,-16.91898115,145.7366929,30185840000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Timber,682463,71400,domestic_surge_2022,QLD,2,SS5,2
GNAF_GAQLD160589729,-16.91896938,145.7432437,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160584363,-16.91900078,145.7435593,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD158225487,-16.91894639,145.7467272,30186090000,Residential,30602115212,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,1450790,178500,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160589730,-16.91892982,145.7432304,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160584362,-16.91896102,145.7435719,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD156767434,-16.91890647,145.7335614,30187550000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,922538,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD155516115,-16.91889261,145.7498402,30187862000,Residential,30602115212,32080,Cairns,Manunda,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,885770,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD160590442,-16.91889027,145.7432171,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160584361,-16.91892126,145.7435845,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160590443,-16.91885072,145.7432038,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD155503324,-16.9188465,145.7371426,30187220000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,904087,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD156764515,-16.91884358,145.7328088,30187550000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,860046,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD160584360,-16.9188815,145.7435971,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160590444,-16.91881117,145.7431905,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD155518988,-16.9187811,145.740944,30187670000,Residential,30602115115,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,803086,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD155503326,-16.9187782,145.7367202,30185840000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,389332,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD156785461,-16.91839341,145.7433665,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160584359,-16.91884173,145.7436097,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD156810006,-16.91870782,145.7450965,30186550000,Residential,30602115212,32080,Cairns,Manunda,4870,1980 - 1995,SH,Metal Sheeting,Fibre Cement,862511,66600,domestic_surge_2022,QLD,1,SS3,0.3
GNAF_GAQLD160584358,-16.91874499,145.743615,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD156069842,-16.91866246,145.7328251,30187550000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,860046,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD160584357,-16.91870342,145.7436146,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160584346,-16.9186582,145.7432349,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD156785263,-16.91888474,145.7413104,30187670000,Residential,30602115115,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,1258007,142800,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160584347,-16.9186207,145.7432535,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160584356,-16.91866185,145.7436142,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD155531992,-16.91859419,145.745785,30186090000,Residential,30602115212,32080,Cairns,Manunda,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,774460,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD160584348,-16.9185832,145.7432721,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160584355,-16.91862028,145.7436138,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160584349,-16.9185457,145.7432908,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160584354,-16.9185787,145.7436134,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD155503285,-16.9185118,145.7333761,30187550000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,911787,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD160584350,-16.9185082,145.7433094,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD156767438,-16.91847738,145.733689,30187550000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,895955,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD158225885,-16.91846501,145.7320192,30198440000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,860417,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD158208217,-16.91875487,145.7415871,30187670000,Residential,30602115115,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,1450790,178500,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD158238558,-16.91862023,145.7413833,30187670000,Residential,30602115115,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,1258007,142800,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160584351,-16.91845765,145.7433345,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD160584353,-16.91852267,145.7436129,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD158234578,-16.91844929,145.731831,30198440000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,860417,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD156760425,-16.91841111,145.7384664,30187220000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,867995,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD160584352,-16.91845146,145.7436123,30186570000,Residential,30602115211,32080,Cairns,Manunda,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,387533,35700,domestic_surge_2022,QLD,2,SS7,0.3
GNAF_GAQLD156813090,-16.91837139,145.7498985,30187862000,Residential,30602115212,32080,Cairns,Manunda,4870,1980 - 1995,SH,Metal Sheeting,Timber,784613,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD156806015,-16.91825715,145.748826,30187862000,Residential,30602115212,32080,Cairns,Manunda,4870,1980 - 1995,SH,Metal Sheeting,Fibre Cement,770344,66600,domestic_surge_2022,QLD,1,SS3,0.3
GNAF_GAQLD156774477,-16.91819626,145.7356406,30186630000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,846930,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD156032346,-16.91813187,145.7414293,30187670000,Residential,30602115115,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,882659,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD162057669,-16.91799096,145.7415582,30187670000,Residential,30602115115,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,983274,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD158236846,-16.91798759,145.7331635,30187550000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,1042340,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD156767439,-16.9179515,145.7337985,30187550000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,855939,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD155523584,-16.91787261,145.7362444,30186630000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,882181,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD156051814,-16.91785669,145.7360538,30186630000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,882181,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD720729664,-16.91780722,145.7341583,30186630000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Timber,370544,35700,domestic_surge_2022,QLD,2,SS5,2
GNAF_GAQLD720740657,-16.91774133,145.7341644,30186630000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Timber,682463,71400,domestic_surge_2022,QLD,2,SS5,2
GNAF_GAQLD155523579,-16.91771494,145.7343569,30186630000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Fibre Cement,875167,66600,domestic_surge_2022,QLD,1,SS3,0.3
GNAF_GAQLD155523580,-16.91759422,145.7342261,30186630000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Timber,370544,35700,domestic_surge_2022,QLD,2,SS5,2
GNAF_GAQLD162005204,-16.91760941,145.7418655,30187670000,Residential,30602115115,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,949356,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD720728082,-16.91759676,145.7341503,30186630000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Timber,682463,71400,domestic_surge_2022,QLD,2,SS5,2
GNAF_GAQLD158211255,-16.91737001,145.7357999,30186630000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,1039360,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD156803056,-16.91729483,145.7307285,30198440000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,801213,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD156813069,-16.91727109,145.7351543,30186630000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,1042340,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD162831213,-16.9172287,145.7309951,30198440000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,963541,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD156803057,-16.91716059,145.7306238,30198440000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,777153,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD156813079,-16.91702195,145.7369562,30187610000,Residential,30602115112,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,680256,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD162061519,-16.91697753,145.7332764,30187550000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Fibre Cement,857563,66600,domestic_surge_2022,QLD,1,SS3,0.3
GNAF_GAQLD156803055,-16.91696384,145.7309591,30198440000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,843226,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD162831202,-16.91695827,145.731967,30198440000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,780150,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD155529174,-16.91693588,145.7375017,30186910000,Residential,30602115111,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Fibre Cement,865569,66600,domestic_surge_2022,QLD,1,SS3,0.3
GNAF_GAQLD156803058,-16.91693117,145.7306423,30198440000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,782387,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD156813085,-16.91690372,145.7364871,30187610000,Residential,30602115112,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Fibre Cement,742220,66600,domestic_surge_2022,QLD,1,SS3,0.3
GNAF_GAQLD162061520,-16.916877,145.7331066,30187550000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,810079,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD155529176,-16.91675544,145.7316534,30198440000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,868460,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD160999868,-16.91673655,145.730692,30198440000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,802784,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD156803054,-16.91669992,145.7310477,30198440000,Residential,30602115105,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,773381,66600,domestic_surge_2022,QLD,1,SS1,2
