LID,LATITUDE,LONGITUDE,MB_CODE,MB_CAT,SA1_CODE,LGA_CODE,LGA_NAME,SUBURB,POSTCODE,YEAR_BUILT,CONSTRUCTION_TYPE,ROOF_TYPE,WALL_TYPE,REPLACEMENT_VALUE,CONTENTS_VALUE,SURGE_VULNERABILITY_SET,STATE,NEXIS_NO_OF_STOREYS,SURGE_VULNERABILITY_FUNCTION_ID,floor_height_above_ground_(m)
GNAF_GAQLD156760695,-16.91990815,145.7320332,30188310000,Residential,30602115106,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Timber,902869,66600,domestic_surge_2022,QLD,1,SS1,2
GNAF_GAQLD155518610,-16.91970421,145.7311014,30188300000,Residential,30602115106,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,369731,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD162045706,-16.91989626,145.7368241,30186640000,Residential,30602115110,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Fibre Cement,864959,66600,domestic_surge_2022,QLD,1,SS3,0.3
GNAF_GAQLD156760693,-16.91989473,145.7324617,30188310000,Residential,30602115106,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Fibre Cement,869803,66600,domestic_surge_2022,QLD,1,SS3,0.3
GNAF_GAQLD156760694,-16.91985849,145.7322597,30188310000,Residential,30602115106,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Fibre Cement,891287,66600,domestic_surge_2022,QLD,1,SS3,0.3
GNAF_GAQLD161959017,-16.91985189,145.736642,30186640000,Residential,30602115110,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Fibre Cement,354836,66600,domestic_surge_2022,QLD,1,SS3,0.3
GNAF_GAQLD156760690,-16.91982909,145.732648,30188310000,Residential,30602115106,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Fibre Cement,441106,66600,domestic_surge_2022,QLD,1,SS3,0.3
GNAF_GAQLD158241373,-16.91988218,145.7309469,30188300000,Residential,30602115106,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,359389,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD158236923,-16.91973271,145.7313291,30188300000,Residential,30602115106,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,407134,35700,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD158198104,-16.91972328,145.7312168,30188300000,Residential,30602115106,32080,Cairns,Manoora Qld,4870,1980 - 1995,SD,Metal Sheeting,Cavity and Solid Masonry,407134,35700,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD155518354,-16.91972093,145.7460354,30186550000,Residential,30602115212,32080,Cairns,Manunda,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,832350,66600,domestic_surge_2022,QLD,1,SS4,0.3
GNAF_GAQLD158241374,-16.9197659,145.7309674,30188300000,Residential,30602115106,32080,Cairns,Manoora Qld,4870,1980 - 1995,SH,Metal Sheeting,Cavity and Solid Masonry,369731,66600,domestic_surge_2022,QLD,1,SS4,0.3
