exposure_latitude,exposure_longitude,LID,STATE,LGA_CODE_2012,SUBURB,MESHBLOCK_CODE_2011,YEAR_BUILT,CONSTRUCTION_TYPE,ROOF_TYPE,WALL_TYPE,REPLACEMENT_VALUE,CONTENTS_VALUE,WIND_REGION_CLASSIFICATION,WIND_VULNERABILITY_MODEL_NUMBER,WIND_VULNERABILITY_FUNCTION_ID,AS4055_CLASS,internal_id,0.2s gust at 10m height m/s,structural,structural_lower,structural_upper,structural_loss,Damage state
-25.05999,115.21305,GNAF_GAWA_147407033,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Brick veneer,688367,206516,A,253,dw253,nan,0,16.86100959777832,0.0,0.0,0.0,0.0,nan
-25.056810000000002,115.20908,GNAF_GAWA_161387984,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Double brick,707255,212183,A,261,dw249,nan,1,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.056112,115.20850300000001,GNAF_GAWA_147410757,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Timber,735687,220713,A,262,dw247,nan,2,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.056074,115.20646599999999,GNAF_GAWA_147410756,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Double brick,707255,212183,A,249,dw251,nan,3,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.055667,115.20835,GNAF_GAWA_147410755,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Brick veneer,683620,205092,A,259,dw260,nan,4,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.055028,115.20823,GNAF_GAWA_147402851,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Brick veneer,510745,153228,A,253,dw263,nan,5,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.055028,115.208496,GNAF_GAWA_162585119,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Double brick,528174,158457,A,255,dw251,nan,6,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.055028,115.20876200000001,GNAF_GAWA_147402848,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Timber,544885,163470,A,250,dw249,nan,7,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.055028,115.209028,GNAF_GAWA_162585122,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SD,Metal sheeting,Brick veneer,733267,268867,A,247,dw262,nan,8,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.055028,115.20929299999999,GNAF_GAWA_162585117,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Fibro / asbestos cement sheeting,536269,160886,A,251,dw247,nan,9,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.055028,115.20955900000001,GNAF_GAWA_162585118,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Timber,502426,150732,A,256,dw256,nan,10,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.054529000000002,115.208496,GNAF_GAWA_147413682,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Double brick,521701,156515,A,249,dw263,nan,11,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.054529000000002,115.209294,GNAF_GAWA_147406844,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Brick veneer,509185,152760,A,253,dw255,nan,12,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.054529000000002,115.20955900000001,GNAF_GAWA_147406845,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Fibro / asbestos cement sheeting,537921,161381,A,251,dw253,nan,13,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.054112,115.19939299999999,GNAF_GAWA_162799124,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Timber,735687,220713,A,262,dw249,nan,14,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.053803,115.209405,GNAF_GAWA_147407709,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Timber,551108,165337,A,256,dw262,nan,15,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.053801999999997,115.2099,GNAF_GAWA_147407660,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Brick veneer,554540,166367,A,253,dw263,nan,16,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.053758,115.2107,GNAF_GAWA_147406848,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Brick veneer,688367,206516,A,253,dw250,nan,17,16.86100959777832,0.0,0.0,0.0,0.0,nan
-25.053712,115.208757,GNAF_GAWA_147407685,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Fibro / asbestos cement sheeting,421117,126339,A,251,dw251,nan,18,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.053576,115.209405,GNAF_GAWA_147413683,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Double brick,410428,123132,A,249,dw262,nan,19,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.053576,115.209903,GNAF_GAWA_147407659,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Fibro / asbestos cement sheeting,422289,126690,A,263,dw261,nan,20,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.053395000000002,115.209903,GNAF_GAWA_147410749,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Fibro / asbestos cement sheeting,420274,126086,A,263,dw256,nan,21,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.053395000000002,115.210701,GNAF_GAWA_147407680,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Timber,735687,220713,A,250,dw253,nan,22,16.86100959777832,0.0,0.0,0.0,0.0,nan
-25.053394,115.209405,GNAF_GAWA_147407688,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Double brick,414336,124304,A,255,dw253,nan,23,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.053213,115.209405,GNAF_GAWA_147407711,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Brick veneer,395067,118524,A,247,dw255,nan,24,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.053213,115.209903,GNAF_GAWA_147407658,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Double brick,415324,124601,A,255,dw255,nan,25,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.053207999999998,115.208377,GNAF_GAWA_162567809,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Brick veneer,683620,205092,A,260,dw255,nan,26,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.053117,115.211004,GNAF_GAWA_147406847,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Timber,674825,202454,A,256,dw263,nan,27,16.86100959777832,0.0,0.0,0.0,0.0,nan
-25.053031,115.209903,GNAF_GAWA_147410751,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Timber,395092,118531,A,256,dw247,nan,28,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.05303,115.2094,GNAF_GAWA_161548684,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Fibro / asbestos cement sheeting,422291,126691,A,263,dw251,nan,29,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.052851,115.2099,GNAF_GAWA_147410750,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Fibro / asbestos cement sheeting,417537,125265,A,251,dw256,nan,30,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.05285,115.209405,GNAF_GAWA_147410690,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Double brick,412990,123901,A,255,dw253,nan,31,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.052670000000003,115.20941,GNAF_GAWA_161548683,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Double brick,414965,124493,A,255,dw256,nan,32,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.052584,115.209825,GNAF_GAWA_147410752,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Brick veneer,537570,161276,A,261,dw259,nan,33,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.052486,115.209405,GNAF_GAWA_147407661,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Fibro / asbestos cement sheeting,421285,126389,A,263,dw263,nan,34,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.052247,115.209455,GNAF_GAWA_147406851,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Double brick,690499,207156,A,261,dw253,nan,35,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.052221,115.210449,GNAF_GAWA_147407681,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Fibro / asbestos cement sheeting,726243,217880,A,251,dw261,nan,36,16.86100959777832,0.0,0.0,0.0,0.0,nan
-25.052163,115.208378,GNAF_GAWA_147402852,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Timber,735687,220713,A,250,dw263,nan,37,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.051899,115.20933000000001,GNAF_GAWA_147407662,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Brick veneer,630445,189139,A,262,dw250,nan,38,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.051753,115.209899,GNAF_GAWA_147406853,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Brick veneer,396763,119032,A,253,dw249,nan,39,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.051565,115.210232,GNAF_GAWA_147407682,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Brick veneer,391541,117466,A,263,dw251,nan,40,16.86100959777832,0.0,0.0,0.0,0.0,nan
-25.051564000000003,115.20976499999999,GNAF_GAWA_147407664,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Brick veneer,401311,120397,A,253,dw253,nan,41,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.051372,115.210104,GNAF_GAWA_147407657,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Fibro / asbestos cement sheeting,422064,126623,A,263,dw250,nan,42,16.86100959777832,0.0,0.0,0.0,0.0,nan
-25.051371,115.20963400000001,GNAF_GAWA_147407666,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Double brick,409321,122800,A,261,dw261,nan,43,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.05118,115.20941,GNAF_GAWA_161548686,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Double brick,615381,184620,A,261,dw261,nan,44,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.051179,115.209972,GNAF_GAWA_147407683,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Double brick,408158,122451,A,249,dw263,nan,45,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.051134,115.20842900000001,GNAF_GAWA_147406846,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Fibro / asbestos cement sheeting,726243,217880,A,251,dw250,nan,46,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.050985999999998,115.20983999999999,GNAF_GAWA_147407665,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Timber,427182,128158,A,250,dw251,nan,47,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.050910000000002,115.209352,GNAF_GAWA_147393997,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Brick veneer,444285,133289,A,247,dw256,nan,48,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.050794,115.209709,GNAF_GAWA_147410689,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Fibro / asbestos cement sheeting,422065,126623,A,263,dw251,nan,49,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.050612,115.209577,GNAF_GAWA_147407710,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Fibro / asbestos cement sheeting,417537,125265,A,251,dw251,nan,50,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.050570999999998,115.20930200000001,GNAF_GAWA_147407663,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Fibro / asbestos cement sheeting,467354,140210,A,251,dw247,nan,51,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.050105,115.20841599999999,GNAF_GAWA_147407684,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Metal sheeting,Brick veneer,683620,205092,A,247,dw255,nan,52,16.973352432250977,0.0,0.0,0.0,0.0,nan
-25.049841,115.20916000000001,GNAF_GAWA_147410753,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Fibro / asbestos cement sheeting,Timber,422934,126884,A,262,dw262,nan,53,17.02787208557129,4.0148197010040276e-05,6.202235841751098e-06,4.360441923713684e-05,16.980037554244372,nan
-25.049696,115.20589299999999,GNAF_GAWA_161993394,WA,58470,GASCOYNE JUNCTION,50311210000,1977 - 1981,SH,Tile,Timber,674825,202454,A,256,dw261,nan,54,17.02787208557129,6.202235841751098e-06,6.202235841751098e-06,4.360441923713684e-05,4.1854238019096845,nan
-24.895725,113.66235800000001,GNAF_GAWA_147046180,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SH,Fibro / asbestos cement sheeting,Fibro / asbestos cement sheeting,378965,149137,D,65,dw49,nan,55,48.52842330932617,0.37953226353426744,0.10747292330036087,0.5273435235985069,143829.44425026365,Extensive
-24.895657999999997,113.662175,GNAF_GAWA_147046178,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SH,Tile,Timber,410662,161611,D,58,dw55,nan,56,48.52842330932617,0.4238381558407154,0.07882427669952774,0.5273435235985069,174054.22475385986,Extensive
-24.895563,113.66538500000001,GNAF_GAWA_147015224,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Tile,Brick veneer,352761,138804,D,55,dw63,nan,57,48.52842330932617,0.39975032419735906,0.07882427669952774,0.4238381558407154,141016.3241141846,Extensive
-24.895542000000003,113.662,GNAF_GAWA_147046174,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SH,Tile,Fibro / asbestos cement sheeting,360681,141942,D,59,dw63,nan,58,48.52842330932617,0.5273435235985069,0.07882427669952774,0.42901342422860467,190202.78943503308,Complete
-24.895483,113.662521,GNAF_GAWA_147046181,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SD,Metal sheeting,Brick veneer,905390,301793,D,49,dw55,nan,59,48.52842330932617,0.10898074680566787,0.10747292330036087,0.5273435235985069,98670.07835038363,Moderate
-24.895432,113.665249,GNAF_GAWA_147015177,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Fibro / asbestos cement sheeting,Timber,365920,143982,D,64,dw53,nan,60,48.52842330932617,0.3172125580950069,0.07882427669952774,0.4238381558407154,116074.41925812494,Extensive
-24.895421,113.661891,GNAF_GAWA_147046173,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SH,Fibro / asbestos cement sheeting,Fibro / asbestos cement sheeting,393406,154820,D,65,dw51,nan,61,48.52842330932617,0.37953226353426744,0.10898074680566787,0.4238381558407154,149310.269667962,Extensive
-24.895312,113.662663,GNAF_GAWA_147046182,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SH,Tile,Timber,357532,140703,D,58,dw59,nan,62,48.52842330932617,0.4238381558407154,0.07882427669952774,0.5273435235985069,151535.70353404264,Extensive
-24.895301,113.66516000000001,GNAF_GAWA_147015172,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Tile,Brick veneer,456835,179755,D,55,dw52,nan,63,48.52842330932617,0.39975032419735906,0.07882427669952774,0.4238381558407154,182619.93935470053,Extensive
-24.895231,113.66569399999999,GNAF_GAWA_147018319,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Fibro / asbestos cement sheeting,Fibro / asbestos cement sheeting,371426,146148,D,65,dw61,nan,64,48.52842330932617,0.37953226353426744,0.07882427669952774,0.4238381558407154,140968.15051547883,Extensive
-24.895203,113.662123,GNAF_GAWA_148113790,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SD,Tile,Brick veneer,806088,268693,D,55,dw58,nan,65,48.52842330932617,0.39975032419735906,0.10747292330036087,0.5273435235985069,322233.9393316008,Extensive
-24.895198,113.661542,GNAF_GAWA_147046168,WA,51540,SOUTH CARNARVON,50065270000,1962 - 1971,SH,Tile,Brick veneer,461512,181623,D,55,dw57,nan,66,48.52842330932617,0.39975032419735906,0.10747292330036087,0.5273435235985069,184489.57162097158,Extensive
-24.89515,113.665006,GNAF_GAWA_147015169,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Metal sheeting,Double brick,357301,140590,D,51,dw52,nan,67,48.52842330932617,0.10898074680566787,0.07882427669952774,0.4238381558407154,38938.92981441194,Moderate
-24.895135999999997,113.662764,GNAF_GAWA_148116419,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SH,Fibro / asbestos cement sheeting,Timber,385532,151722,D,64,dw53,nan,68,48.52842330932617,0.3172125580950069,0.10747292330036087,0.5273435235985069,122295.59194748421,Extensive
-24.895103,113.661378,GNAF_GAWA_147039437,WA,51540,SOUTH CARNARVON,50065270000,1962 - 1971,SH,Fibro / asbestos cement sheeting,Brick veneer,326575,128520,D,61,dw49,nan,69,48.52842330932617,0.27435865088881684,0.10898074680566787,0.5273435235985069,89598.67641401535,Extensive
-24.895085,113.665599,GNAF_GAWA_147024718,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Tile,Double brick,334608,131661,D,57,dw53,nan,70,48.52842330932617,0.39975032419735906,0.07882427669952774,0.4009547157795268,133759.65647902992,Extensive
-24.895027,113.662259,GNAF_GAWA_147048297,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SH,Tile,Double brick,378661,149018,D,57,dw57,nan,71,48.52842330932617,0.39975032419735906,0.07882427669952774,0.42901342422860467,151369.85751089617,Extensive
-24.895015,113.664872,GNAF_GAWA_147039472,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Metal sheeting,Brick veneer,400114,157436,D,49,dw49,nan,72,48.52842330932617,0.10898074680566787,0.07882427669952774,0.4238381558407154,43604.72252740299,Moderate
-24.895003,113.66119599999999,GNAF_GAWA_147033607,WA,51540,SOUTH CARNARVON,50065270000,1962 - 1971,SH,Fibro / asbestos cement sheeting,Brick veneer,354550,139529,D,61,dw53,nan,73,48.52842330932617,0.27435865088881684,0.10898074680566787,0.4238381558407154,97273.85967263,Extensive
-24.894951000000002,113.665444,GNAF_GAWA_147015225,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Metal sheeting,Brick veneer,448427,176447,D,49,dw64,nan,74,48.52842330932617,0.10898074680566787,0.07882427669952774,0.4238381558407154,48869.909347825225,Moderate
-24.894924,113.662554,GNAF_GAWA_147067831,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SH,Fibro / asbestos cement sheeting,Brick veneer,350874,138082,D,61,dw65,nan,75,48.52842330932617,0.27435865088881684,0.07882427669952774,0.5273435235985069,96265.31727196272,Extensive
-24.894904,113.66173,GNAF_GAWA_148080588,WA,51540,SOUTH CARNARVON,50065270000,1962 - 1971,SD,Metal sheeting,Fibro / asbestos cement sheeting,799146,266379,D,53,dw53,nan,76,48.52842330932617,0.2746274668895798,0.07882427669952774,0.42901342422860467,219467.44165494014,Extensive
-24.894886,113.66605,GNAF_GAWA_147018326,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Tile,Timber,426978,168007,D,58,dw61,nan,77,48.52842330932617,0.4238381558407154,0.07882427669952774,0.4238381558407154,180969.56810455697,Extensive
-24.894869,113.661084,GNAF_GAWA_147030568,WA,51540,SOUTH CARNARVON,50065270000,1962 - 1971,SH,Fibro / asbestos cement sheeting,Double brick,479594,188739,D,63,dw51,nan,78,48.52842330932617,0.3550930781631966,0.10898074680566787,0.42901342422860467,170300.5097286001,Extensive
-24.89485,113.66479,GNAF_GAWA_147039470,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Metal sheeting,Fibro / asbestos cement sheeting,417537,164292,D,53,dw57,nan,79,48.52842330932617,0.2746274668895798,0.07882427669952774,0.4238381558407154,114667.12864267448,Extensive
-24.894816,113.663076,GNAF_GAWA_147030533,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SH,Metal sheeting,Timber,474746,186831,D,52,dw52,nan,80,48.52842330932617,0.07882427669952774,0.10898074680566787,0.5273435235985069,37421.510065994,Slight
-24.894807,113.66533500000001,GNAF_GAWA_147015178,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Metal sheeting,Timber,454403,178798,D,52,dw55,nan,81,48.52842330932617,0.07882427669952774,0.07882427669952774,0.4238381558407154,35817.9878050955,Slight
-24.894785,113.66241000000001,GNAF_GAWA_147067830,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SH,Metal sheeting,Brick veneer,347647,136813,D,49,dw58,nan,82,48.52842330932617,0.10898074680566787,0.10898074680566787,0.5273435235985069,37886.82968475002,Moderate
-24.894742,113.664615,GNAF_GAWA_147048308,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Fibro / asbestos cement sheeting,Timber,433219,170463,D,64,dw52,nan,83,48.52842330932617,0.3172125580950069,0.07882427669952774,0.4238381558407154,137422.5072053608,Extensive
-24.894705,113.66591799999999,GNAF_GAWA_147018324,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Fibro / asbestos cement sheeting,Brick veneer,481270,189370,D,61,dw49,nan,84,48.52842330932617,0.27435865088881684,0.07882427669952774,0.4238381558407154,132040.58791326088,Extensive
-24.894701,113.663261,GNAF_GAWA_148110054,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SD,Metal sheeting,Double brick,786780,262257,D,51,dw65,nan,85,48.52842330932617,0.10898074680566787,0.10898074680566787,0.5273435235985069,85743.87197176336,Moderate
-24.894697,113.661872,GNAF_GAWA_148116399,WA,51540,SOUTH CARNARVON,50065270000,1962 - 1971,SD,Metal sheeting,Fibro / asbestos cement sheeting,741276,247089,D,53,dw55,nan,86,48.52842330932617,0.2746274668895798,0.10898074680566787,0.4238381558407154,203574.75014604014,Extensive
-24.894688000000002,113.665209,GNAF_GAWA_147015173,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Fibro / asbestos cement sheeting,Timber,435929,171529,D,64,dw61,nan,87,48.52842330932617,0.3172125580950069,0.07882427669952774,0.4238381558407154,138282.15323779828,Extensive
-24.89464,113.66135200000001,GNAF_GAWA_148080050,WA,51540,SOUTH CARNARVON,50065270000,1962 - 1971,SD,Tile,Double brick,913716,304568,D,57,dw61,nan,88,48.52842330932617,0.39975032419735906,0.10898074680566787,0.4238381558407154,365258.26722431416,Extensive
-24.894635,113.65916100000001,GNAF_GAWA_147027627,WA,51540,SOUTH CARNARVON,50064940000,1962 - 1971,SH,Fibro / asbestos cement sheeting,Brick veneer,419289,165006,D,61,dw55,nan,89,48.52842330932617,0.27435865088881684,0.07882427669952774,0.5273435235985069,115035.56437252113,Extensive
-24.894626000000002,113.660775,GNAF_GAWA_147030545,WA,51540,SOUTH CARNARVON,50065270000,1962 - 1971,SH,Tile,Timber,395124,155497,D,58,dw53,nan,90,48.52842330932617,0.4238381558407154,0.10898074680566787,0.4238381558407154,167468.6274884068,Extensive
-24.894592000000003,113.664527,GNAF_GAWA_147048306,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Metal sheeting,Timber,636578,250480,D,52,dw58,nan,91,48.52842330932617,0.07882427669952774,0.07882427669952774,0.4238381558407154,50177.800412831966,Slight
-24.894572,113.66580900000001,GNAF_GAWA_147018322,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Tile,Fibro / asbestos cement sheeting,542524,213472,D,59,dw58,nan,92,48.52842330932617,0.5273435235985069,0.07882427669952774,0.4238381558407154,286096.51779675635,Complete
-24.894562,113.660573,GNAF_GAWA_147030543,WA,51540,SOUTH CARNARVON,50065270000,1962 - 1971,SH,Tile,Fibro / asbestos cement sheeting,354293,139428,D,59,dw58,nan,93,48.52842330932617,0.5273435235985069,0.10747292330036087,0.4238381558407154,186834.1190062858,Complete
-24.894558,113.66347900000001,GNAF_GAWA_148118267,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SD,Tile,Fibro / asbestos cement sheeting,768496,256162,D,59,dw55,nan,94,48.52842330932617,0.5273435235985069,0.10898074680566787,0.5273435235985069,405261.3885113582,Complete
-24.894542,113.66506100000001,GNAF_GAWA_147015170,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Metal sheeting,Brick veneer,623071,245165,D,49,dw63,nan,95,48.52842330932617,0.10898074680566787,0.07882427669952774,0.4238381558407154,67902.74289295428,Moderate
-24.894535,113.666362,GNAF_GAWA_147030080,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Metal sheeting,Fibro / asbestos cement sheeting,611025,240426,D,53,dw57,nan,96,48.52842330932617,0.2746274668895798,0.07882427669952774,0.4238381558407154,167804.24795620548,Extensive
-24.894515,113.662894,GNAF_GAWA_148116420,WA,51540,SOUTH CARNARVON,50064600000,1962 - 1971,SD,Metal sheeting,Fibro / asbestos cement sheeting,910666,303552,D,53,dw65,nan,97,48.52842330932617,0.2746274668895798,0.07882427669952774,0.42901342422860467,250093.89676246606,Extensive
-24.894507,113.662132,GNAF_GAWA_147046176,WA,51540,SOUTH CARNARVON,50065270000,1962 - 1971,SH,Fibro / asbestos cement sheeting,Fibro / asbestos cement sheeting,385706,151790,D,65,dw61,nan,98,48.52842330932617,0.37953226353426744,0.10898074680566787,0.5273435235985069,146387.87123874816,Extensive
-24.894476,113.659318,GNAF_GAWA_147027630,WA,51540,SOUTH CARNARVON,50064940000,1962 - 1971,SH,Tile,Timber,417757,164404,D,58,dw61,nan,99,48.52842330932617,0.4238381558407154,0.10898074680566787,0.5273435235985069,177061.35646954973,Extensive
-24.894454999999997,113.665646,GNAF_GAWA_147018320,WA,51540,SOUTH CARNARVON,50065090000,1962 - 1971,SH,Metal sheeting,Brick veneer,357007,140475,D,49,dw55,nan,100,48.52842330932617,0.10898074680566787,0.07882427669952774,0.4238381558407154,38906.88947485107,Moderate
