LID,LATITUDE,LONGITUDE,SA1_CODE,REPLACEMENT_VALUE,EQ_VULNERABILITY_FUNCTION_ID
GNAF_GAWA_163153712,-22.96324474,115.1153988,51003127105,835780.02,URML_Pre
GNAF_GAWA_148297873,-22.94545776,115.0207864,51003127105,835780.02,URML_Pre
GNAF_GAWA_719673953,-23.14776376,113.7696085,51102127712,1090581,W1_Post
GNAF_GAWA_719643905,-23.14762017,113.7765858,51102127712,1160890,W1_Post
GNAF_GAWA_163335205,-23.14606658,113.7700938,51102127712,1160890,W1_Post
GNAF_GAWA_162554370,-23.14536165,113.7717737,51102127712,1160890,W1_Post
GNAF_GAWA_162554367,-23.14499519,113.7724819,51102127712,1090581,W1_Post
GNAF_GAWA_147071544,-23.14474106,113.7725473,51102127712,1126067,URML_Post
GNAF_GAWA_147071541,-23.14453827,113.7695793,51102127712,1160890,W1_Post
GNAF_GAWA_147071543,-23.14425,113.77229,51102127712,1126067,URML_Post
GNAF_GAWA_147071540,-23.14386,113.76889,51102127712,1126067,URML_Post
GNAF_GAWA_147071539,-23.14362709,113.7682382,51102127712,1090581,W1_Post
GNAF_GAWA_147174621,-23.1433,113.76843,51102127712,1160890,W1_Post
GNAF_GAWA_147071538,-23.13998024,113.7718464,51102127712,1085336,W1_Post
AGIL_5895CARD,-23.10465596,113.8031284,51102127704,859681.02,URML_Pre
AGIL_5892CARD,-23.10465596,113.8035496,51102127704,859681.02,URML_Pre
AGIL_5896CARD,-23.10424907,113.8046703,51102127704,859681.02,URML_Pre
AGIL_5893CARD,-23.1041991,113.8026715,51102127704,859681.02,URML_Pre
AGIL_5894CARD,-23.10349954,113.8037209,51102127704,859681.02,URML_Pre
GNAF_GAWA_720363426,-22.12336697,114.0857873,51102127701,859681.02,URML_Pre
GNAF_GAWA_163380754,-22.12331144,114.0864452,51102127701,859681.02,URML_Pre
GNAF_GAWA_162798149,-22.06222165,114.1067143,51102127701,886264.02,W1_Post
GNAF_GAWA_162798148,-22.06133058,114.1077068,51102127701,878529,W1_Post
GNAF_GAWA_162798147,-22.06027466,114.1083001,51102127701,886264.02,W1_Post
GNAF_GAWA_162798146,-22.0585846,114.1083928,51102127701,878529,W1_Post
GNAF_GAWA_162798145,-22.05673285,114.1094594,51102127701,878529,W1_Post
GNAF_GAWA_162798144,-22.05536039,114.1102921,51102127701,878529,W1_Post
GNAF_GAWA_162798143,-22.0538142,114.1108748,51102127701,886264.02,W1_Post
GNAF_GAWA_162798142,-22.05227176,114.1114145,51102127701,828082.02,W1_Post
GNAF_GAWA_162798141,-22.05092149,114.1123321,51102127701,886264.02,W1_Post
GNAF_GAWA_162798140,-22.04954796,114.1124866,51102127701,878529,W1_Post
GNAF_GAWA_162798139,-22.04820954,114.1125945,51102127701,878529,W1_Post
GNAF_GAWA_162798138,-22.04698086,114.112078,51102127701,886264.02,W1_Post
GNAF_GAWA_162798137,-22.04557763,114.1121168,51102127701,878529,W1_Post
GNAF_GAWA_162798136,-22.04428086,114.111858,51102127701,878529,W1_Post
GNAF_GAWA_162798135,-22.04260198,114.1111066,51102127701,878529,W1_Post
GNAF_GAWA_161571923,-22.04251,114.11273,51102127701,878529,W1_Post
GNAF_GAWA_162798133,-22.04077145,114.1109319,51102127701,886264.02,W1_Post
GNAF_GAWA_162798134,-22.0397653,114.1127475,51102127701,828082.02,W1_Post
GNAF_GAWA_162798132,-22.03911563,114.1106949,51102127701,878529,W1_Post
GNAF_GAWA_162798131,-22.03712767,114.1099151,51102127701,878529,W1_Post
GNAF_GAWA_162798130,-22.03536469,114.1099699,51102127701,878529,W1_Post
GNAF_GAWA_162798129,-22.03399043,114.1099983,51102127701,886264.02,W1_Post
GNAF_GAWA_162798128,-22.03258232,114.1100283,51102127701,878529,W1_Post
GNAF_GAWA_162798127,-22.03142134,114.1115908,51102127701,886264.02,W1_Post
GNAF_GAWA_162798126,-22.02976453,114.1116408,51102127701,878529,W1_Post
GNAF_GAWA_162798125,-22.02809146,114.1121848,51102127701,878529,W1_Post
GNAF_GAWA_161565307,-22.02618013,114.1113251,51102127701,828082.02,W1_Post
GNAF_GAWA_162570645,-22.01327687,114.1189911,51102127701,886264.02,W1_Post
GNAF_GAWA_162570638,-22.01239137,114.1201455,51102127701,878529,W1_Post
GNAF_GAWA_162589532,-22.01189561,114.1165974,51102127701,886264.02,W1_Post
GNAF_GAWA_162275540,-22.01175317,114.1206146,51102127701,878529,W1_Post
GNAF_GAWA_162275538,-22.01171686,114.1202042,51102127701,886264.02,W1_Post
GNAF_GAWA_162275536,-22.01168196,114.1197798,51102127701,878529,W1_Post
GNAF_GAWA_162275533,-22.01164782,114.1193552,51102127701,878529,W1_Post
GNAF_GAWA_162275531,-22.01162983,114.118929,51102127701,886264.02,W1_Post
GNAF_GAWA_162275529,-22.01162579,114.1185016,51102127701,828082.02,W1_Post
GNAF_GAWA_162275541,-22.01161834,114.1180749,51102127701,878529,W1_Post
GNAF_GAWA_162275535,-22.01153955,114.1176142,51102127701,878529,W1_Post
GNAF_GAWA_162275260,-22.01140492,114.1167712,51102127701,886264.02,W1_Post
