LID,LATITUDE,LONGITUDE,SA1_CODE,REPLACEMENT_VALUE,EQ_VULNERABILITY_FUNCTION_ID
GNAF_GAWA_162275539,-22.01094704,114.1210466,51102127701,878529,W1_Post
GNAF_GAWA_162275259,-22.0109105,114.1169591,51102127701,878529,W1_Post
GNAF_GAWA_162275537,-22.01090959,114.1206031,51102127701,886264.02,W1_Post
GNAF_GAWA_162275534,-22.0108739,114.1201592,51102127701,878529,W1_Post
GNAF_GAWA_162275532,-22.01083822,114.1197153,51102127701,886264.02,W1_Post
GNAF_GAWA_162275258,-22.01082991,114.1181254,51102127701,886264.02,W1_Post
GNAF_GAWA_162275530,-22.01080185,114.1192716,51102127701,828082.02,W1_Post
GNAF_GAWA_162275528,-22.01076346,114.1188273,51102127701,886264.02,W1_Post
GNAF_GAWA_162275262,-22.01044252,114.118202,51102127701,878529,W1_Post
GNAF_GAWA_162275261,-22.01041761,114.117138,51102127701,886264.02,W1_Post
GNAF_GAWA_162273690,-22.01030675,114.1211059,51102127701,854498.01,URML_Post
GNAF_GAWA_162273687,-22.01026845,114.1206625,51102127701,878529,W1_Post
GNAF_GAWA_162273685,-22.01023277,114.1202186,51102127701,878529,W1_Post
GNAF_GAWA_162273683,-22.01019708,114.1197747,51102127701,878529,W1_Post
GNAF_GAWA_162273681,-22.0101614,114.1193308,51102127701,878529,W1_Post
GNAF_GAWA_162273679,-22.01012366,114.1188873,51102127701,828082.02,W1_Post
GNAF_GAWA_162273677,-22.01000926,114.1183033,51102127701,886264.02,W1_Post
GNAF_GAWA_162273692,-22.00940281,114.1220473,51102127701,878529,W1_Post
GNAF_GAWA_162273691,-22.00935132,114.1213766,51102127701,878529,W1_Post
GNAF_GAWA_162273688,-22.00931408,114.1209134,51102127701,828082.02,W1_Post
GNAF_GAWA_162273686,-22.00927685,114.1204502,51102127701,878529,W1_Post
GNAF_GAWA_162273684,-22.009238,114.1199868,51102127701,828082.02,W1_Post
GNAF_GAWA_162273682,-22.00920237,114.1195238,51102127701,886264.02,W1_Post
GNAF_GAWA_162273680,-22.00916514,114.1190606,51102127701,886264.02,W1_Post
GNAF_GAWA_162273678,-22.00912789,114.1185975,51102127701,878529,W1_Post
GNAF_GAWA_162273675,-22.0091021,114.1175802,51102127701,878529,W1_Post
GNAF_GAWA_162273676,-22.00908905,114.118134,51102127701,886264.02,W1_Post
GNAF_GAWA_147032139,-21.97417,114.12941,51102127706,1160890,W1_Post
GNAF_GAWA_147134798,-21.97377302,114.1206842,51102127706,1126067,URML_Post
GNAF_GAWA_147134799,-21.97376973,114.1199225,51102127706,1126067,URML_Post
GNAF_GAWA_147134800,-21.9737659,114.1191756,51102127706,1126067,URML_Post
GNAF_GAWA_147134797,-21.97376513,114.1217435,51102127706,1090581,W1_Post
GNAF_GAWA_147134796,-21.97376199,114.122507,51102127706,1158660,W1_Post
GNAF_GAWA_147143543,-21.97376157,114.1232722,51102127706,1126067,URML_Post
GNAF_GAWA_147143542,-21.97376114,114.1240373,51102127706,1158660,W1_Post
GNAF_GAWA_147143541,-21.97374539,114.124803,51102127706,1126067,URML_Post
GNAF_GAWA_147143531,-21.97261,114.11973,51102127706,1126067,URML_Post
GNAF_GAWA_147032143,-21.97232,114.1305,51102127706,1090581,W1_Post
GNAF_GAWA_147120599,-21.97227919,114.1209412,51102127706,1158660,W1_Post
GNAF_GAWA_147120600,-21.97227546,114.1216279,51102127706,1160890,W1_Post
GNAF_GAWA_147143537,-21.9722751,114.1223155,51102127706,1090581,W1_Post
GNAF_GAWA_147143538,-21.97227473,114.1230032,51102127706,1126067,URML_Post
GNAF_GAWA_147143539,-21.97227436,114.1236908,51102127706,1160890,W1_Post
GNAF_GAWA_147143540,-21.972274,114.1243785,51102127706,1158660,W1_Post
GNAF_GAWA_147032138,-21.97205,114.12914,51102127706,1126067,URML_Post
GNAF_GAWA_147143530,-21.97188,114.11985,51102127706,1160890,W1_Post
GNAF_GAWA_147143529,-21.9711,114.12005,51102127706,1160890,W1_Post
GNAF_GAWA_147134786,-21.97039,114.1203,51102127706,1158660,W1_Post
GNAF_GAWA_147032145,-21.97013,114.1311,51102127706,1126067,URML_Post
GNAF_GAWA_147120593,-21.96990378,114.1204734,51102127706,1158660,W1_Post
GNAF_GAWA_147032140,-21.96985,114.12968,51102127706,1160890,W1_Post
GNAF_GAWA_147120592,-21.96945359,114.1206182,51102127706,1090581,W1_Post
GNAF_GAWA_147137822,-21.96845,114.12083,51102127706,1160890,W1_Post
GNAF_GAWA_147057033,-21.96811,114.13176,51102127706,1160890,W1_Post
GNAF_GAWA_147032141,-21.96786,114.13017,51102127706,1090581,W1_Post
GNAF_GAWA_147050244,-21.96717,114.13386,51102127706,1160890,W1_Post
GNAF_GAWA_147042636,-21.96609,114.13248,51102127706,1126067,URML_Post
GNAF_GAWA_147032142,-21.96573,114.13069,51102127706,1158660,W1_Post
GNAF_GAWA_147050243,-21.96386,114.13349,51102127706,1126067,URML_Post
GNAF_GAWA_147033118,-21.96243,114.13322,51102127706,1126067,URML_Post
GNAF_GAWA_163203434,-21.9616578,114.1347454,51102127706,800150.9952,URML_Post
GNAF_GAWA_163197419,-21.96157881,114.1355809,51102127706,866781.986,W1_Post
GNAF_GAWA_163197418,-21.9612808,114.1357264,51102127706,737598.0111,W1_Post
GNAF_GAWA_718395603,-21.96101385,114.1347493,51102127706,799678.9963,W1_Post
GNAF_GAWA_718299857,-21.96094109,114.1350783,51102127706,878536.9984,W1_Post
GNAF_GAWA_147032146,-21.96094,114.13189,51102127706,1090581,W1_Post
GNAF_GAWA_718299852,-21.96093307,114.134944,51102127706,779429.99,W1_Post
GNAF_GAWA_163203447,-21.96090357,114.1352251,51102127706,838933.984,W1_Post
GNAF_GAWA_718299854,-21.96084301,114.1347523,51102127706,756757.9971,URML_Post
GNAF_GAWA_163197424,-21.9605344,114.1358101,51102127706,813118.0113,W1_Post
GNAF_GAWA_718299851,-21.96046254,114.1350514,51102127706,825613.0005,W1_Post
GNAF_GAWA_718299856,-21.96046072,114.1345996,51102127706,814620.9863,W1_Post
GNAF_GAWA_718299855,-21.96046071,114.1347494,51102127706,759828.0096,W1_Post
GNAF_GAWA_718299853,-21.96046069,114.134899,51102127706,812502.9878,W1_Post
GNAF_GAWA_163197422,-21.96022956,114.1358744,51102127706,784912.0024,URML_Post
GNAF_GAWA_163382311,-21.96015463,114.1350191,51102127706,962447.9981,W1_Post
GNAF_GAWA_718298694,-21.96015322,114.1346233,51102127706,936708.9765,URML_Post
GNAF_GAWA_163197421,-21.96007817,114.1358716,51102127706,795092.9889,W1_Post
GNAF_GAWA_718213924,-21.95611527,114.1347304,51102127706,801820.0118,URML_Post
GNAF_GAWA_718213922,-21.95607794,114.1345868,51102127706,670186.9928,URML_Post
GNAF_GAWA_718213920,-21.95605471,114.1344634,51102127706,696015.9916,W1_Post
GNAF_GAWA_718213918,-21.95603147,114.1343401,51102127706,651047.0025,W1_Post
GNAF_GAWA_718213916,-21.95600824,114.1342167,51102127706,689755.0037,W1_Post
GNAF_GAWA_718213914,-21.955985,114.1340933,51102127706,657442.9975,W1_Post
GNAF_GAWA_718213912,-21.95596177,114.13397,51102127706,697216.9838,W1_Post
GNAF_GAWA_718213910,-21.95593854,114.1338466,51102127706,672504.0054,URML_Post
GNAF_GAWA_718213908,-21.95588558,114.1336659,51102127706,1051853.972,W1_Post
GNAF_GAWA_718213925,-21.95575688,114.135199,51102127706,653283.9957,W1_Post
GNAF_GAWA_718213923,-21.95573173,114.1350667,51102127706,676617,W1_Post
GNAF_GAWA_718213921,-21.95572046,114.134925,51102127706,753426.984,W1_Post
GNAF_GAWA_718213919,-21.95569265,114.1347779,51102127706,753426.984,W1_Post
GNAF_GAWA_718213917,-21.95566484,114.1346308,51102127706,733128.984,URML_Post
GNAF_GAWA_718213915,-21.95563704,114.1344838,51102127706,710764.992,W1_Post
GNAF_GAWA_718213913,-21.95560467,114.1343007,51102127706,615753.9963,W1_Post
GNAF_GAWA_718213911,-21.95558315,114.1341868,51102127706,622745.991,W1_Post
GNAF_GAWA_718213909,-21.95553065,114.1340797,51102127706,698782.0002,URML_Post
GNAF_GAWA_718213907,-21.95550912,114.1339658,51102127706,725624.9937,W1_Post
GNAF_GAWA_718213906,-21.9554876,114.133852,51102127706,698782.0002,URML_Post
GNAF_GAWA_718213905,-21.95546788,114.1337476,51102127706,611824.0125,URML_Post
GNAF_GAWA_718213904,-21.95544493,114.1336549,51102127706,618892.9923,W1_Post
GNAF_GAWA_718213903,-21.95534305,114.1335771,51102127706,469172,W1_Post
GNAF_GAWA_718213902,-21.95532511,114.1334823,51102127706,495869,W1_Post
GNAF_GAWA_718213901,-21.95530718,114.1333874,51102127706,501796.0063,W1_Post
GNAF_GAWA_718213900,-21.95528925,114.1332925,51102127706,483188.0075,URML_Post
GNAF_GAWA_718213899,-21.95527131,114.1331976,51102127706,501796.0063,W1_Post
GNAF_GAWA_718213898,-21.95525337,114.1331027,51102127706,501796.0063,W1_Post
GNAF_GAWA_718213896,-21.95523544,114.1330079,51102127706,505346.0088,URML_Post
GNAF_GAWA_162575173,-21.95522834,114.1373699,51102127706,540324.9958,W1_Post
GNAF_GAWA_718213895,-21.95521751,114.132913,51102127706,495869,W1_Post
GNAF_GAWA_718213894,-21.95519957,114.1328181,51102127706,483188.0075,URML_Post
GNAF_GAWA_718213893,-21.95518163,114.1327232,51102127706,483188.0075,URML_Post
GNAF_GAWA_718213892,-21.95516369,114.1326283,51102127706,501796.0063,W1_Post
GNAF_GAWA_718213928,-21.95514576,114.1325334,51102127706,501796.0063,W1_Post
GNAF_GAWA_718213927,-21.95512783,114.1324386,51102127706,501796.0063,W1_Post
GNAF_GAWA_162575172,-21.95511768,114.1374727,51102127706,458032.9904,W1_Post
GNAF_GAWA_718213926,-21.9551099,114.1323437,51102127706,469172,W1_Post
GNAF_GAWA_718213897,-21.95508736,114.1321996,51102127706,790024.0038,URML_Post
GNAF_GAWA_718212820,-21.95501586,114.1339643,51102127706,604245.0122,W1_Post
GNAF_GAWA_718214912,-21.95491236,114.1332138,51102127706,767895.0006,W1_Post
GNAF_GAWA_718214913,-21.95484272,114.1330524,51102127706,483188.0075,URML_Post
GNAF_GAWA_718214914,-21.95482087,114.1329596,51102127706,515782.9965,W1_Post
GNAF_GAWA_718214911,-21.95480563,114.1332571,51102127706,517863.0051,URML_Post
GNAF_GAWA_718214915,-21.95480293,114.1328648,51102127706,519537.9998,URML_Post
GNAF_GAWA_718214916,-21.95478499,114.1327699,51102127706,515782.9965,W1_Post
GNAF_GAWA_163049366,-21.95474506,114.1370047,51102127706,691199.019,W1_Post
GNAF_GAWA_718214908,-21.95471129,114.1332786,51102127706,528880.0056,W1_Post
GNAF_GAWA_718212817,-21.95469338,114.1348443,51102127706,483188.0075,URML_Post
GNAF_GAWA_163049365,-21.95466735,114.136924,51102127706,645432.018,W1_Post
GNAF_GAWA_718214907,-21.95461886,114.1332924,51102127706,496626.9923,URML_Post
GNAF_GAWA_162575169,-21.95450453,114.1367544,51102127706,732580.9875,W1_Post
GNAF_GAWA_718214906,-21.95440382,114.1329395,51102127706,539446.0105,W1_Post
GNAF_GAWA_718212801,-21.9543179,114.1337974,51102127706,496626.9923,URML_Post
GNAF_GAWA_718214904,-21.95431636,114.1329606,51102127706,546445.0056,W1_Post
GNAF_GAWA_718214898,-21.95426473,114.1333694,51102127706,517174.0002,W1_Post
GNAF_GAWA_718212793,-21.9542398,114.1342119,51102127706,552863.0016,W1_Post
GNAF_GAWA_718214902,-21.95422785,114.1329798,51102127706,516618.0084,W1_Post
GNAF_GAWA_718757355,-21.95418661,114.1355524,51102127706,1090714.998,W1_Post
GNAF_GAWA_718214896,-21.95417613,114.1333886,51102127706,519537.9998,URML_Post
GNAF_GAWA_718214900,-21.95413934,114.132999,51102127706,552863.0016,W1_Post
GNAF_GAWA_718214894,-21.95408762,114.1334078,51102127706,515782.9965,W1_Post
GNAF_GAWA_718214897,-21.95405083,114.1330183,51102127706,552863.0016,W1_Post
GNAF_GAWA_718214892,-21.95399911,114.1334271,51102127706,496626.9923,URML_Post
GNAF_GAWA_718214895,-21.95396226,114.1330375,51102127706,552863.0016,W1_Post
GNAF_GAWA_718214890,-21.9539106,114.1334463,51102127706,515782.9965,W1_Post
GNAF_GAWA_718214893,-21.95387375,114.1330567,51102127706,546445.0056,W1_Post
GNAF_GAWA_718478440,-21.95401727,114.1377755,51102127706,1932214.613,URML_Post
GNAF_GAWA_718450782,-21.95338118,114.1379335,51102127706,1001971.023,W1_Post
GNAF_GAWA_718450775,-21.95412061,114.1381628,51102127706,1001663.656,W1_Post
GNAF_GAWA_718450779,-21.95361884,114.137746,51102127706,1000782.712,W1_Post
GNAF_GAWA_718450772,-21.95406904,114.1384809,51102127706,933243.6677,W1_Post
GNAF_GAWA_718450778,-21.9541145,114.1390432,51102127706,603708.2932,W1_Post
GNAF_GAWA_718450770,-21.95404208,114.138738,51102127706,608639.2484,W1_Post
GNAF_GAWA_718450777,-21.95407923,114.1388947,51102127706,607672.8951,W1_Post
GNAF_GAWA_718214922,-21.95382209,114.1334655,51102127706,519537.9998,URML_Post
GNAF_GAWA_718214891,-21.95378524,114.1330759,51102127706,552863.0016,W1_Post
GNAF_GAWA_718214920,-21.95373358,114.1334848,51102127706,519537.9998,URML_Post
GNAF_GAWA_718214889,-21.95369673,114.1330952,51102127706,552863.0016,W1_Post
GNAF_GAWA_718214918,-21.95364507,114.133504,51102127706,515782.9965,W1_Post
GNAF_GAWA_718214921,-21.95361265,114.1331134,51102127706,509924.9938,W1_Post
GNAF_GAWA_718214919,-21.95353299,114.1331307,51102127706,509924.9938,W1_Post
GNAF_GAWA_718214899,-21.95349096,114.1335383,51102127706,948781.9921,URML_Post
GNAF_GAWA_718214917,-21.95345333,114.133148,51102127706,490997.9927,URML_Post
GNAF_GAWA_718214909,-21.95336078,114.1331664,51102127706,514390.0016,W1_Post
GNAF_GAWA_163049360,-21.95325088,114.1365593,51102127706,680162.0072,W1_Post
GNAF_GAWA_718214081,-21.95245763,114.1333643,51102127706,546445.0056,W1_Post
GNAF_GAWA_162567106,-21.95161714,114.1356615,51102127706,1054309.002,W1_Post
GNAF_GAWA_162567096,-21.95090336,114.1349508,51102127706,997355.0182,W1_Post
GNAF_GAWA_162567111,-21.95084524,114.1336877,51102127706,994629.0006,URML_Post
GNAF_GAWA_162567091,-21.95071976,114.1346607,51102127706,997355.0182,W1_Post
GNAF_GAWA_162567085,-21.95044225,114.1342254,51102127706,971611.0134,URML_Post
GNAF_GAWA_162572556,-21.94967271,114.1345505,51102127706,996095.0091,W1_Post
GNAF_GAWA_162572582,-21.9493041,114.1339592,51102127706,989428.0057,URML_Post
GNAF_GAWA_162572580,-21.94923621,114.133792,51102127706,1002359.018,W1_Post
GNAF_GAWA_162572559,-21.94919501,114.1349847,51102127706,996095.0091,W1_Post
GNAF_GAWA_162572573,-21.94917256,114.1336193,51102127706,1002359.018,W1_Post
GNAF_GAWA_719200945,-21.94899008,114.1387984,51102127706,1158660,W1_Post
GNAF_GAWA_162575198,-21.94858458,114.1374444,51102127706,1048451.995,URML_Post
GNAF_GAWA_162561394,-21.94853107,114.1354933,51102127706,989170.0278,W1_Post
GNAF_GAWA_162580390,-21.94811151,114.1381594,51102127706,1051853.972,W1_Post
GNAF_GAWA_162580388,-21.94787141,114.1381657,51102127706,892627.0095,URML_Post
GNAF_GAWA_162580386,-21.94769016,114.1381579,51102127706,981446.0094,W1_Post
GNAF_GAWA_162561386,-21.94759822,114.1352017,51102127706,1016433.017,W1_Post
GNAF_GAWA_163381551,-21.94754617,114.1376999,51102127706,1008074.999,W1_Post
GNAF_GAWA_162580383,-21.94752694,114.1381238,51102127706,1065333.967,W1_Post
GNAF_GAWA_162561415,-21.94737267,114.1347223,51102127706,1002395.013,W1_Post
GNAF_GAWA_162580381,-21.94728322,114.1378892,51102127706,950556.9866,W1_Post
GNAF_GAWA_162580393,-21.94724276,114.138356,51102127706,907149.0112,URML_Post
GNAF_GAWA_162575188,-21.94719604,114.1362176,51102127706,1068752.989,W1_Post
GNAF_GAWA_162580392,-21.94708935,114.1383742,51102127706,879492.0111,W1_Post
GNAF_GAWA_162580379,-21.94707342,114.1378866,51102127706,959568.0213,W1_Post
GNAF_GAWA_162567072,-21.94701781,114.1375383,51102127706,1061345.001,W1_Post
GNAF_GAWA_162575182,-21.94701403,114.1359287,51102127706,1007855.015,W1_Post
GNAF_GAWA_162580391,-21.94693727,114.1383967,51102127706,887223.9963,W1_Post
GNAF_GAWA_162580377,-21.94690805,114.1379119,51102127706,952259.0186,W1_Post
GNAF_GAWA_162760853,-21.94683971,114.135634,51102127706,1095434.033,W1_Post
GNAF_GAWA_162580389,-21.94678517,114.1384192,51102127706,887223.9963,W1_Post
GNAF_GAWA_162580375,-21.94674272,114.1379373,51102127706,959568.0213,W1_Post
GNAF_GAWA_162580387,-21.94663309,114.1384417,51102127706,855431.9978,URML_Post
GNAF_GAWA_162580399,-21.94657741,114.1379627,51102127706,959568.0213,W1_Post
GNAF_GAWA_162580384,-21.946481,114.1384642,51102127706,887223.9963,W1_Post
GNAF_GAWA_162580395,-21.94633417,114.137891,51102127706,970496.9911,W1_Post
GNAF_GAWA_162580397,-21.94633146,114.1380807,51102127706,909119.028,W1_Post
GNAF_GAWA_162580382,-21.94632892,114.1384867,51102127706,887223.9963,W1_Post
GNAF_GAWA_162567073,-21.94627395,114.1376068,51102127706,1086425.004,W1_Post
GNAF_GAWA_162580380,-21.94617638,114.1385093,51102127706,891050.0197,W1_Post
GNAF_GAWA_719674104,-21.94616708,114.1339216,51102127706,1126067,URML_Post
GNAF_GAWA_719674602,-21.94615322,114.1345775,51102127706,1126067,URML_Post
GNAF_GAWA_162580378,-21.94599786,114.1385366,51102127706,1019908.975,URML_Post
GNAF_GAWA_162580385,-21.94587452,114.1375197,51102127706,999447.9752,W1_Post
GNAF_GAWA_162580394,-21.94587445,114.1377137,51102127706,964965.024,W1_Post
GNAF_GAWA_162580396,-21.94587439,114.1378909,51102127706,938335.02,URML_Post
GNAF_GAWA_162580398,-21.94587433,114.138068,51102127706,988952.0028,URML_Post
GNAF_GAWA_162580400,-21.94586897,114.1382454,51102127706,964965.024,W1_Post
GNAF_GAWA_162580376,-21.945812,114.1385237,51102127706,1023591.999,W1_Post
